"z"	"f1"	"f2"	"b"
0	0.43583321057326	0.936547993555459	-201.261652064757
0	0.384357126469162	1.02907389888283	-212.793438925087
0	0.0935537196359033	0.972235916164105	-203.211556594565
0	0.248199980391415	0.834095291932099	-203.034427985932
0	0.476240329018751	0.96003504849755	-207.692038022366
0	0.430635965505558	0.978062114675387	-186.848281734974
1	-0.730585343651413	0.60221103916758	-105.680239000511
1	-0.867458565077967	0.488941367878671	-99.7620888009522
1	-0.911048166910774	0.542735670200466	-92.358573307389
1	-0.784125528526352	0.6183892193913	-96.1708852747122
1	-0.828122496529902	0.590608117960944	-108.594892336296
1	-0.756224738446488	0.5428693374873	-103.632873514624
2	-0.809451774995691	-0.708621289334018	4.57607871535413
2	-0.948217063264386	-0.521666666083696	4.71039436891423
2	-0.616072248679616	-0.529623454875438	17.1526974660661
2	-0.863671900751554	-0.650381542710363	-12.326370256685
2	-0.87623001190009	-0.557788364774508	-16.8369684920829
2	-0.794462301946315	-0.501175338277848	7.37610506802003
3	0.246604815690029	-0.877073069123305	103.984145339541
3	0.323128750447352	-0.804724405735049	98.2856130321824
3	0.122663381647115	-1.01722796546687	107.106075327907
3	0.467598059840876	-0.835232009104297	79.4962237704679
3	0.231674972984528	-0.95692878040614	117.330087304961
3	0.355706234915872	-0.842643618041887	109.571366818661
4	0.989599536403999	0.10027094420634	194.148048765422
4	1.11763720273001	0.0642642452877545	197.424294931342
4	0.849155267781042	-0.0188377503153219	212.595574990848
4	0.881010346753282	-0.138418245623812	215.750723925982
4	0.897033294126142	-0.0840213391327797	200.259617216923
4	1.08258192837084	-0.177853642159395	196.888643420981
